,1,ウインナー,ほうれん草とコーンのソテー,キャベツと玉葱の味噌汁,たれカツ丼,焼き玉葱と春雨のピリ辛和え,ハンバーグジンジャーソース,ケチャップスパゲティー,わかめと麩の味噌汁,,
,2,肉野菜炒め,和風スパゲティー,マカロニと野菜のスープ,ポークカレー,わかめサラダ,白身魚のマヨネーズチーズ焼き,根菜の田舎風,キャベツと大根の味噌汁,,
,3,温泉玉子,厚揚げとキャベツの味噌炒め,長ねぎとえのきの味噌汁,チョリソーのペペロンチーノ,茄子の生姜醬油,照り煮チキン,白菜の塩昆布和え,キャベツとわかめの味噌汁,,
,4,オニオンスクランブル,コーンじゃがバター風味,ごぼうの味噌汁,豚肉と白菜のクリーム煮,ブロッコリーとコーンのマヨソース,豚挽き肉と野菜の塩炒め,キャベツの中華和え,小松菜とわかめの味噌汁,,
,5,照り焼き肉団子,ほうれん草とマカロニのクリーム煮,キャベツとわかめの味噌汁,【こどもの日】,ハンバーガープレート,鶏肉のシーザーサラダ仕立て,キャベツと葱の炒め煮,わかめと玉ねぎの味噌汁,,
,6,高野豆腐の卵とじ,ベーコン,わかめスープ,大判きつねうどん,春巻,鶏肉の生姜焼き,きゅうりの和風ピクルス,わかめと麩の味噌汁,,
,7,ウインナー,スパゲティと玉葱のサラダ,豆腐とわかめの味噌汁,ケチャップオムライス,ブロッコリーのナムル,白身魚のムニエル温野菜添え,大根のそぼろあん,白菜と油揚げの味噌汁,,昼特：プチシュー
,8,トマトスクランブル,白菜とチャーシューの炒め,じゃが芋と玉葱の味噌汁,和風明太子スパゲティ,大根とツナの青じそサラダ,鶏の唐揚げ青のり風味,ピリ辛こんにゃく,大根とわかめの味噌汁,,
,9,根菜鶏つくねハンガーグ,ほうれん草とかぼちゃのソテー,小松菜と大根の中華スープ,ビーフカレー,キャベツサラダ,肉豆腐,オクラとわかめの酢の物,キャベツと玉葱の味噌汁,,
,10,出し巻き玉子,人参のたらこ炒め,ごぼうの味噌汁,鶏肉きんぴら丼,オクラとえのきのお浸し,アジフライ,こんにゃと野菜の煮物,キャベツとえのきの味噌汁,,
,11,かぼちゃのコロッケ,ひじきと切干大根のきんぴら,わかめと玉ねぎの味噌汁,ツナコーンピラフ,ポテトといんげんのサラダ,豚肉のピリ辛甘味噌炒め,キャベツとオクラの塩昆布和え,玉葱とえのきの味噌汁,,
,12,和風スクランブル,ハム,キャベツとわかめの味噌汁,横浜もやしあんかけラーメン,餃子,鶏肉のハニーレモンとかぼちゃコロッケ,大根とツナのおかか和え,キャベツとえのきの味噌汁,,
,13,鯖の味噌煮,青じそスパゲティー,もやしと人参のスープ,【群馬】鶏めし,もやしとほうれん草のナムル,麻婆茄子,ポテトの醤油バター風味,しめじとわかめの味噌汁,,
,14,ウインナー,白菜と挽肉の炒め煮,キャベツともやしの味噌汁,親子丼,じゃが芋のニンニクおかか和え,豚肉の粗焼きペッパー焼き,さつま芋と大根の煮物,わかめと麩の味噌汁,,
,15,コーンスクランブル,さつま揚げと人参のきんぴら,わかめと麩の味噌汁,キャベツとベーコンのペペロンチーノ,大根の明太和え,揚げ鳥の香味ソース,スイートエンドウのおかか和え,じゃがいもと玉ねぎの味噌汁,,
,16,一口つくねの照り焼き,ほうれん草と人参のソテー,野菜スープ,チキンカレー,カラフルサラダ,白金鱈のカレー揚げと ナポリタン,大根と沿道のコンソメ煮,長ねぎとえのきの味噌汁,,
,17,プレーンオムレツ,海藻とオニオンのマリネサラダ,ごぼうの味噌汁,豚汁うどん,フライドポテト,豚しゃぶと野菜のおろしポン酢,オクラのピリ辛和え,じゃがいもと玉ねぎの味噌汁,,
,18,目玉焼き,フレンチサラダ,わかめと玉ねぎの味噌汁,ウインナーのカレーピラフ,小松菜のお浸し,肉団子のデミトマ煮,白菜と玉葱の和風和え,わかめと玉ねぎの味噌汁,,
,19,ハンバーグ,ほうれん草とベーコンのソテー,じゃがいもと玉ねぎの味噌汁,塩ワンタンメン,じゃが芋のカレー炒め,ビックメンチカツ,スパゲティーサラダ,キャベツとわかめの味噌汁,,
,20,鶏肉団子の甘酢あん,ごぼうの中華サラダ,カレースープ,和風おろしハンバーグ,ブロッコリーのガーリック炒め,鶏すき煮,キャベツのお浸し,わかめと玉ねぎの味噌汁,,
,21,ほうれん草スクランブル,ハム,大根と人参の味噌汁,豚ねぎうどん,あんかけ豆腐,鶏の塩唐揚げ抹茶風味,ぜんざい風プリン,小松菜とわかめの味噌汁,,夕特です
,22,温泉玉子,ジャーマンポテト,キャベツとえのきの味噌汁,タイ風　鶏肉の生姜炒めご飯,明太子スパゲティ,【勝ち飯】カラフル回鍋肉セット,蒸し鶏とほうれん草のマヨ和え,長ねぎとえのきの味噌汁,,
,23,肉入りコロッケ,ツナとブロッコリーのマカロニサラダ,野菜スープ,ハヤシライス,ミックスサラダ,鯖のキムチマヨ焼き,栗かぼちゃの含め煮,わかめと麩の味噌汁,,
,24,ミートオムレツ,ひじきと白滝の煮付け,キャベツとしめじの味噌汁,とんかつ　おろしポン酢,そら豆とポテトのマヨ和え,牛肉のオイスターソース炒め,白菜とツナのポン酢和え,しめじとわかめの味噌汁,,
,25,ピーマン肉詰めフライ,里芋の彩りあんかけ,わかめと玉ねぎの味噌汁,ミートソーススパゲティ,春野菜のレモンマリネ,豚肉ときのこのポン酢炒め,ブロッコリーのおかか和え,大根とわかめの味噌汁,,
,26,野菜のスクランブル,ベーコン,豆腐とわかめの味噌汁,鶏南蛮うどん,緑黄色野菜のおかか和え,ピーマン肉詰めフライと野菜コロッケ,大根の炒め煮,しめじとわかめの味噌汁,,
,27,チキンナゲット,五目豆,わかめスープ,チャーハンWITH豚の生姜焼き,パプリカと大根のピクルス,揚げ鳥のネギ南蛮ダレ,レンコーンサラダ,小松菜とわかめの味噌汁,,
,28,鯖の塩焼き,ほうれん草と人参のソテー,じゃがいもと玉ねぎの味噌汁,プルコギポーク丼,ポテトの磯部揚げ,鶏肉の治部煮,キャベツとオクラの塩昆布和え,キャベツと玉葱の味噌汁,,
,29,プレーンオムレツ,ウインナーと野菜のソテー,大根とわかめの味噌汁,ビーフフォー,白菜とハムの炒め,鶏のジューシーからあげ,きんぴらごぼう,じゃが芋とわかめの味噌汁,,
,30,ハム野菜炒め,青じそスパゲティー,コンソメジュリアン,ポークカレー,ビーンズサラダ,白身魚のグリルジンジャーソース,白菜と人参のピリ辛炒め,キャベツとえのきの味噌汁,,
